,id,park,plain_dates,genus_species,url,image_url,hyperlink,status
10135,94255584,Tilden,20210909,Cirsium vulgare,https://www.inaturalist.org/observations/94255584,https://static.inaturalist.org/photos/156568486/medium.jpg,https://static.inaturalist.org/photos/156568486/medium.jpg,1
10141,94438948,Tilden,20210909,Cirsium vulgare,https://www.inaturalist.org/observations/94438948,https://inaturalist-open-data.s3.amazonaws.com/photos/156658547/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/156658547/medium.jpg,3
10143,94439269,Tilden,20210909,Cirsium vulgare,https://www.inaturalist.org/observations/94439269,https://inaturalist-open-data.s3.amazonaws.com/photos/156659163/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/156659163/medium.jpg,3
10154,8541513,Tilden,20171021,Cirsium vulgare,https://www.inaturalist.org/observations/8541513,https://inaturalist-open-data.s3.amazonaws.com/photos/11409405/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/11409405/medium.jpg,1
10201,8866354,Tilden,20171119,Cirsium vulgare,https://www.inaturalist.org/observations/8866354,https://static.inaturalist.org/photos/11920880/medium.jpg,https://static.inaturalist.org/photos/11920880/medium.jpg,5
10203,8866358,Tilden,20171119,Cirsium vulgare,https://www.inaturalist.org/observations/8866358,https://static.inaturalist.org/photos/11920889/medium.jpg,https://static.inaturalist.org/photos/11920889/medium.jpg,1
10458,16091859,Tilden,20180728,Cirsium vulgare,https://www.inaturalist.org/observations/16091859,https://inaturalist-open-data.s3.amazonaws.com/photos/24103506/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/24103506/medium.jpg,1
10463,15113503,Tilden,20180804,Cirsium vulgare,https://www.inaturalist.org/observations/15113503,https://static.inaturalist.org/photos/22583548/medium.jpg,https://static.inaturalist.org/photos/22583548/medium.jpg,1
10478,16499242,Tilden,20180909,Cirsium vulgare,https://www.inaturalist.org/observations/16499242,https://inaturalist-open-data.s3.amazonaws.com/photos/24829830/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/24829830/medium.jpg,1
10483,27182854,Tilden,20180915,Cirsium vulgare,https://www.inaturalist.org/observations/27182854,https://inaturalist-open-data.s3.amazonaws.com/photos/42267020/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/42267020/medium.jpg,1
